index,node_id,type,journal_name
0,2,Journal,AAAI Conference on Artificial Intelligence
1,7,Journal,ACM Conference on Computer and Communications Security
2,27,Journal,ACM Conference on Human Factors in Computing Systems
3,0,Journal,ACM Conference on Management of Data
4,33,Journal,ACM International Conference on Mobile Computing and Networking
5,43,Journal,ACM International Conference on Multimedia
6,62,Journal,ACM International Conference on Ubiquitous Computing
7,19,Journal,"ACM International Conference on the applications, technologies, architectures, and protocols for computer communication"
8,23,Journal,ACM Knowledge Discovery and Data Mining
9,20,Journal,ACM SIGGRAPH Annual Conference
10,39,Journal,ACM SIGPLAN Symposium on Programming Language Design & Implementation
11,28,Journal,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages
12,9,Journal,ACM SIGSOFT Symposium on the Foundation of Software Engineering/ European Software Engineering Conference
13,29,Journal,ACM Symposium on Operating Systems Principles
14,47,Journal,ACM Symposium on Theory of Computing
15,13,Journal,ACM Transactions on Computer Systems
16,11,Journal,ACM Transactions on Computer-Human Interaction
17,16,Journal,ACM Transactions on Database Systems
18,24,Journal,ACM Transactions on Graphics
19,35,Journal,ACM Transactions on Information Systems
20,40,Journal,ACM Transactions on Programming Languages & Systems
21,17,Journal,Architectural Support for Programming Languages and Operating Systems
22,3,Journal,Artificial Intelligence
23,18,Journal,Conference on File and Storage Technologies
24,61,Journal,"Conference on Object-Oriented Programming Systems, Languages, and Applications"
25,4,Journal,European Cryptology Conference
26,63,Journal,High-Performance Computer Architecture
27,65,Journal,IEEE Conference on Computer Vision and Pattern Recognition
28,5,Journal,IEEE International Conference on Computer Communications
29,53,Journal,IEEE International Conference on Data Engineering
30,64,Journal,IEEE Journal of Selected Areas in Communications
31,54,Journal,IEEE Symposium on Foundations of Computer Science
32,58,Journal,IEEE Symposium on Logic in Computer Science
33,46,Journal,IEEE Symposium on Security and Privacy
34,31,Journal,IEEE Trans on Pattern Analysis and Machine Intelligence
35,52,Journal,IEEE Transactions on Computers
36,36,Journal,IEEE Transactions on Dependable and Secure Computing
37,55,Journal,IEEE Transactions on Image Processing
38,12,Journal,IEEE Transactions on Information Forensics and Security
39,57,Journal,IEEE Transactions on Knowledge and Data Engineering
40,44,Journal,IEEE Transactions on Mobile Computing
41,10,Journal,IEEE Transactions on Parallel and Distributed Systems
42,22,Journal,IEEE Transactions on Software Engineering
43,37,Journal,IEEE Transactions on Visualization and Computer Graphics
44,50,Journal,IEEE/ACM Transactions on Networking
45,41,Journal,Information and Computation
46,38,Journal,International Conference on Computer Vision
47,45,Journal,International Conference on Machine Learning
48,21,Journal,International Conference on Research on Development in Information Retrieval
49,59,Journal,International Conference on Software Engineering
50,49,Journal,International Conference on Very Large Data Bases
51,51,Journal,International Cryptology Conference
52,25,Journal,International Joint Conference on Artificial Intelligence
53,26,Journal,International Journal of Computer Vision
54,1,Journal,International Journal of Human Computer Studies
55,30,Journal,International Symposium on Computer Architecture
56,42,Journal,Journal of Cryptology
57,56,Journal,Journal of Machine Learning Research
58,6,Journal,Journal of the ACM
59,32,Journal,MICRO
60,60,Journal,Proceedings of the IEEE
61,8,Journal,Real-Time Systems Symposium
62,14,Journal,SIAM Journal on Computing
63,48,Journal,Security  Usenix Security Symposium
64,15,Journal,USENIX Symposium on Operating Systems Design and Implementations
65,34,Journal,VLDB Journal
