index,node_id,type
0,,Journal
1,,Journal
2,,Journal
3,,Journal
4,,Journal
5,,Journal
6,,Journal
7,,Journal
8,,Journal
9,,Journal
10,,Journal
11,,Journal
12,,Journal
13,,Journal
14,,Journal
15,,Journal
16,,Journal
17,,Journal
18,,Journal
19,,Journal
20,,Journal
21,,Journal
22,,Journal
23,,Journal
24,,Journal
25,,Journal
26,,Journal
27,,Journal
28,,Journal
29,,Journal
30,,Journal
31,,Journal
32,,Journal
33,,Journal
34,,Journal
35,,Journal
36,,Journal
37,,Journal
38,,Journal
39,,Journal
40,,Journal
41,,Journal
42,,Journal
43,,Journal
44,,Journal
45,,Journal
46,,Journal
47,,Journal
48,,Journal
49,,Journal
50,,Journal
51,,Journal
52,,Journal
53,,Journal
54,,Journal
55,,Journal
56,,Journal
57,,Journal
58,,Journal
59,,Journal
60,,Journal
61,,Journal
62,,Journal
63,,Journal
64,,Journal
65,,Journal
66,cs_1,Paper
67,cs_10,Paper
68,cs_100,Paper
69,cs_1000,Paper
70,cs_10000,Paper
71,cs_10001,Paper
72,cs_10002,Paper
73,cs_10003,Paper
74,cs_10004,Paper
75,cs_10005,Paper
76,cs_10006,Paper
77,cs_10007,Paper
78,cs_10008,Paper
79,cs_10009,Paper
80,cs_1001,Paper
81,cs_10010,Paper
82,cs_10011,Paper
83,cs_10012,Paper
84,cs_10013,Paper
85,cs_10014,Paper
86,cs_10015,Paper
87,cs_10016,Paper
88,cs_10017,Paper
89,cs_10018,Paper
90,cs_10019,Paper
91,cs_1002,Paper
92,cs_10020,Paper
93,cs_10021,Paper
94,cs_10022,Paper
95,cs_10023,Paper
96,cs_10024,Paper
97,cs_10025,Paper
98,cs_10026,Paper
99,cs_10027,Paper
100,cs_10028,Paper
101,cs_10029,Paper
102,cs_1003,Paper
103,cs_10030,Paper
104,cs_10031,Paper
105,cs_10032,Paper
106,cs_10033,Paper
107,cs_10034,Paper
108,cs_10035,Paper
109,cs_10036,Paper
110,cs_10037,Paper
111,cs_10038,Paper
112,cs_10039,Paper
113,cs_1004,Paper
114,cs_10040,Paper
115,cs_10041,Paper
116,cs_10042,Paper
117,cs_10043,Paper
118,cs_10044,Paper
119,cs_10045,Paper
120,cs_10046,Paper
121,cs_10047,Paper
122,cs_10048,Paper
123,cs_10049,Paper
124,cs_1005,Paper
125,cs_10050,Paper
126,cs_10051,Paper
127,cs_10052,Paper
128,cs_10053,Paper
129,cs_10054,Paper
130,cs_10055,Paper
131,cs_10056,Paper
132,cs_10057,Paper
133,cs_10058,Paper
134,cs_10059,Paper
135,cs_1006,Paper
136,cs_10060,Paper
137,cs_10061,Paper
138,cs_10062,Paper
139,cs_10063,Paper
140,cs_10064,Paper
141,cs_10065,Paper
142,cs_10066,Paper
143,cs_10067,Paper
144,cs_10068,Paper
145,cs_10069,Paper
146,cs_1007,Paper
147,cs_10070,Paper
148,cs_10071,Paper
149,cs_10072,Paper
150,cs_10073,Paper
151,cs_10074,Paper
152,cs_10075,Paper
153,cs_10076,Paper
154,cs_10077,Paper
155,cs_10078,Paper
156,cs_10079,Paper
157,cs_1008,Paper
158,cs_10080,Paper
159,cs_10081,Paper
160,cs_10082,Paper
161,cs_10083,Paper
162,cs_10084,Paper
163,cs_10085,Paper
164,cs_10086,Paper
165,cs_10087,Paper
166,cs_10088,Paper
167,cs_10089,Paper
168,cs_1009,Paper
169,cs_10090,Paper
170,cs_10091,Paper
171,cs_10092,Paper
172,cs_10093,Paper
173,cs_10094,Paper
174,cs_10095,Paper
175,cs_10096,Paper
176,cs_10097,Paper
177,cs_10098,Paper
178,cs_10099,Paper
179,cs_101,Paper
180,cs_1010,Paper
181,cs_10100,Paper
182,cs_10101,Paper
183,cs_10102,Paper
184,cs_10103,Paper
185,cs_10104,Paper
186,cs_10105,Paper
187,cs_10106,Paper
188,cs_10107,Paper
189,cs_10108,Paper
190,cs_10109,Paper
191,cs_1011,Paper
192,cs_10110,Paper
193,cs_10111,Paper
194,cs_10112,Paper
195,cs_10113,Paper
196,cs_10114,Paper
197,cs_10115,Paper
198,cs_10116,Paper
199,cs_10117,Paper
200,cs_10118,Paper
201,cs_10119,Paper
202,cs_1012,Paper
203,cs_10120,Paper
204,cs_10121,Paper
205,cs_10122,Paper
206,cs_10123,Paper
207,cs_10124,Paper
208,cs_10125,Paper
209,cs_10126,Paper
210,cs_10127,Paper
211,cs_10128,Paper
212,cs_10129,Paper
213,cs_1013,Paper
214,cs_10130,Paper
215,cs_10131,Paper
216,cs_10132,Paper
217,cs_10133,Paper
218,cs_10134,Paper
219,cs_10135,Paper
